Date,Crude Oil,Brent Oil,Natural Gas,Gold,Silver,Copper
2022-06-15,119.11,121.35,7.296,1814.80,21.090,4.1777
2022-06-14,118.93,121.17,7.189,1813.50,20.954,4.1565
2022-06-13,120.93,122.27,8.609,1831.80,21.255,4.2115
2022-06-10,120.67,122.01,8.850,1875.50,21.931,4.2945
2022-06-09,121.51,123.07,8.963,1852.80,21.817,4.3810
2022-06-08,122.11,123.58,8.699,1856.50,22.094,4.4545
2022-06-07,119.41,120.57,9.293,1852.10,22.178,4.4355
2022-06-06,118.50,119.51,9.322,1843.70,22.092,4.4350
2022-06-03,118.87,119.72,8.523,1850.20,21.908,4.4720
2022-06-02,116.87,117.61,8.485,1871.40,22.275,4.5525
2022-06-01,115.26,113.56,8.696,1848.70,21.915,4.3285
2022-05-31,114.67,115.60,8.145,1848.40,21.688,4.2960
2022-05-30,117.61,117.60,8.686,1855.40,21.927,4.3340
2022-05-29,115.61,,8.815,1847.65,22.054,4.3232
2022-05-27,115.07,119.43,8.727,1857.30,22.138,4.3065
2022-05-26,114.09,114.17,8.908,1853.90,21.965,4.2590
2022-05-25,110.33,111.12,8.971,1852.50,21.870,4.2545
2022-05-24,109.77,110.69,8.796,1871.40,22.063,4.3050
2022-05-23,110.29,110.78,8.744,1853.90,21.723,4.3455
2022-05-20,110.28,112.55,8.083,1848.40,21.674,4.2750
2022-05-19,109.89,112.04,8.308,1847.80,21.908,4.2830
2022-05-18,107.04,109.11,8.368,1822.40,21.544,4.1785
2022-05-17,109.63,111.93,8.304,1825.40,21.750,4.2390
2022-05-16,111.82,114.24,7.956,1820.40,21.551,4.1915
2022-05-13,108.63,111.55,7.663,1814.80,21.001,4.1750
2022-05-12,104.40,107.45,7.739,1831.60,20.773,4.1005
2022-05-11,104.03,107.51,7.640,1861.00,21.575,4.2090
2022-05-10,98.45,102.46,7.385,1848.40,21.424,4.1545
2022-05-09,101.77,105.94,7.026,1865.90,21.820,4.1935
2022-05-06,108.33,112.39,8.043,1890.20,22.367,4.2670
2022-05-05,106.74,110.90,8.783,1883.00,22.443,4.2915
2022-05-04,106.22,110.14,8.415,1876.20,22.402,4.3380
2022-05-03,100.90,104.97,7.954,1877.80,22.665,4.2830
2022-05-02,103.42,107.58,7.475,1870.60,22.584,4.2680
2022-04-29,102.94,109.34,7.244,1918.60,23.085,4.4085
2022-04-28,103.47,107.59,6.888,1898.30,23.181,4.4335
2022-04-27,100.68,104.95,7.339,1895.60,23.483,4.4750
2022-04-26,100.41,104.61,6.850,1911.10,23.572,4.4640
2022-04-25,97.67,102.29,6.669,1903.00,23.698,4.4720
2022-04-22,101.05,106.65,6.534,1941.40,24.280,4.6020
2022-04-21,102.96,108.33,6.957,1955.00,24.657,4.7225
2022-04-20,101.36,106.80,6.937,1962.30,25.303,4.6755
2022-04-19,101.16,107.25,7.176,1965.80,25.426,4.7395
2022-04-18,106.41,113.16,7.820,1993.30,26.181,4.8215
2022-04-14,105.44,111.70,7.300,1981.60,25.735,4.7410
2022-04-13,102.89,108.78,6.997,1991.50,26.060,4.7305
2022-04-12,99.40,104.64,6.680,1983.00,25.769,4.7275
2022-04-11,93.46,98.48,6.643,1955.00,25.022,4.6495
2022-04-08,97.01,102.78,6.278,1952.20,24.866,4.7375
2022-04-07,94.81,100.58,6.359,1944.20,24.785,4.7090
2022-04-06,94.63,101.07,6.029,1929.30,24.509,4.7455
2022-04-05,99.55,106.64,6.032,1933.50,24.588,4.8015
2022-04-04,100.60,107.53,5.712,1939.70,24.636,4.7865
2022-04-01,96.76,104.39,5.720,1929.20,24.689,4.6940
2022-03-31,96.88,107.91,5.642,1959.50,25.158,4.7555
2022-03-30,103.32,113.45,5.605,1944.10,25.146,4.7545
2022-03-29,99.65,110.23,5.336,1923.00,24.736,4.7330
2022-03-28,100.72,112.48,5.508,1949.90,25.196,4.7285
2022-03-25,107.93,120.65,5.571,1964.90,25.615,4.7000
2022-03-24,106.19,119.03,5.401,1972.60,25.920,4.7430
2022-03-23,108.65,121.60,5.232,1947.10,25.189,4.7745
2022-03-22,103.57,115.48,5.187,1931.20,24.904,4.7000
2022-03-21,103.98,115.62,4.900,1939.00,25.313,4.7100
2022-03-18,98.19,107.93,4.863,1937.90,25.087,4.7335
2022-03-17,96.98,106.64,4.990,1952.10,25.616,4.6955
2022-03-16,89.53,98.02,4.748,1918.30,24.710,4.5980
2022-03-15,90.87,99.91,4.568,1938.50,25.158,4.5130
2022-03-14,95.84,106.90,4.658,1969.30,25.298,4.5215
2022-03-11,100.48,112.67,4.725,1993.10,26.160,4.6190
2022-03-10,96.73,109.33,4.631,2008.20,26.256,4.6430
2022-03-09,97.26,111.14,4.526,1994.90,25.816,4.5640
2022-03-08,110.83,127.98,4.527,2049.90,26.895,4.7010
2022-03-07,107.72,123.21,4.833,2002.60,25.720,4.7190
2022-03-04,104.18,118.11,5.016,1973.60,25.789,4.9125
2022-03-03,96.78,110.46,4.722,1942.90,25.212,4.7685
2022-03-02,97.58,112.93,4.762,1929.00,25.190,4.6610
